date,open,high,low,close,Volume,K,D
12/27/2017,15764.45,16480.52,14484,15364.93,15643.75488,14.57686892,9.006324228
12/28/2017,15390.05,15474.19,13500,14470.07,16557.21732,16.67124627,13.39978091
12/29/2017,14436.99,15111,13998,14340,13505.70299,9.893564577,13.71389325
12/30/2017,14351,14463.28,12050,12640,21749.67445,3.592109638,10.05230683
12/31/2017,12640,14296.06,12491.21,13880,11583.41865,6.831237223,6.772303813
1/1/2018,13880,13941.75,12801.38,13443.41,7688.030685,10.48193587,6.968427578
1/2/2018,13394.2,15257.53,12910.58,14678.94,16299.6693,27.58246292,14.965212
1/3/2018,14670.96,15500,14546.28,15155.62,12275.0012,49.95066121,29.33835333
1/4/2018,15155.62,15430.27,14192.37,15143.67,14994.33199,72.36478102,49.96596838
1/5/2018,15143.67,17200,14810,16928,16234.81596,88.59758731,70.30434318
1/6/2018,16927.99,17234.99,16220,17149.67,9493.784794,94.22921741,85.06386191
1/7/2018,17142.43,17149.97,15707.16,16124.02,8632.813843,90.61313591,91.14664688
1/8/2018,16173.98,16300,13900,14999.99,16676.34994,72.14513938,85.66249757
1/9/2018,14999.99,15367.18,14123.97,14403.51,13913.52469,49.24137169,70.66654899
1/10/2018,14403.51,14900,13412,14890.02,18479.01253,39.57518525,53.65389877
1/11/2018,14899.99,14973.07,12800,13243.83,19620.61822,27.39088011,38.73581235
1/12/2018,13249.99,14152.19,12807.27,13781.41,13433.08481,24.05382379,30.33996305
1/13/2018,13829.28,14619.1,13789.42,14197.78,7488.987018,18.24285446,23.22918612
1/14/2018,14197.78,14365.81,13072.22,13647.99,7588.63559,19.65647063,20.65104963
1/15/2018,13647.99,14394.36,13429.25,13607.04,9444.635308,16.32679354,18.07537288
1/16/2018,13581.66,13607.04,10162,11386.34,38789.88309,7.857480061,14.61358141
1/17/2018,11393.97,11794.07,9222,11191.35,41356.18974,3.762832226,9.315701944
1/18/2018,11199,12146,10693,11247.57,22195.02021,0.456122318,4.025478202
1/19/2018,11290.9,12050.39,11025.18,11552,13202.4614,3.475728499,2.564894348
1/20/2018,11560.82,13052.12,11515.94,12775.99,10324.05733,19.51178723,7.814546017
1/21/2018,12782.99,12791.88,11100,11558.87,11592.83249,29.37734461,17.45495345
1/22/2018,11558.87,11910.78,10028.41,10808.99,17067.52108,30.33998546,26.40970577
1/23/2018,10810,11409.87,9927.54,10851.82,17250.17615,18.90905759,26.20879589
1/24/2018,10848.99,11500,10488.13,11400.96,11646.23173,23.72966597,24.32623634
1/25/2018,11400.98,11741.82,10868.57,11155.54,10212.92183,31.87791552,24.83887969
1/26/2018,11140.01,11635,10263.32,11092.95,15074.18138,38.60327917,31.40362022
1/27/2018,11093.74,11630.47,10815.84,11446.54,10306.40744,46.06006868,38.84708779
1/28/2018,11446.54,11989.15,11360.52,11685.58,9955.625766,62.35247613,49.00527466
1/29/2018,11685.58,11820.01,10991,11162.62,9996.356898,69.59510166,59.33588216
1/30/2018,11162.62,11222.36,9731.2,9971,21082.19253,46.99602407,59.64786729
1/31/2018,9971,10324,9514.96,10149,12743.50947,23.22786609,46.60633061
2/1/2018,10148.99,10187.56,8455,8998.99,26356.58884,4.654746053,24.9595454
2/2/2018,9010.87,9096.79,7625.25,8838.83,44406.01983,4.654746053,10.84578606
2/3/2018,8838.29,9491.2,8170.71,9225.86,16208.37411,8.626057452,5.97851652
2/4/2018,9225.31,9350.09,7825,8191,19110.58974,8.626057452,7.302286986
2/5/2018,8190.78,8335.56,6600,6874.27,46544.4288,8.626057452,8.626057452
2/6/2018,6878.65,8150,5920.72,7737.37,70961.36966,12.50848084,9.92019858
2/7/2018,7737.26,8649,7213.8,7588.01,32640.89254,23.9893358,15.04129136
2/8/2018,7588.01,8644.36,7565.5,8259.76,22746.39118,44.89049505,27.12943723
2/9/2018,8259.42,8779.62,7753.32,8693.98,18418.11709,59.05299711,42.64427599
